freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.975e+02,5.948e+01,1.916e+01,2.761e+02
1.6,1.567e+02,5.742e+01,5.938e+01,2.735e+02
3.2,8.025e+01,3.324e+01,6.437e+01,1.779e+02
4.8,5.535e+02,3.297e+01,6.276e+01,6.492e+02
6.4,1.887e+03,3.566e+01,6.409e+01,1.987e+03
7.9,3.202e+03,3.700e+01,6.542e+01,3.305e+03
9.5,2.513e+03,3.945e+01,6.763e+01,2.620e+03
11.1,3.197e+03,3.910e+01,6.440e+01,3.301e+03
12.7,4.519e+03,3.458e+01,6.711e+01,4.621e+03
14.3,5.597e+03,3.451e+01,7.554e+01,5.707e+03
15.9,7.022e+03,3.723e+01,7.369e+01,7.133e+03
17.5,8.877e+03,3.777e+01,7.343e+01,8.988e+03
19.1,1.134e+04,4.175e+01,7.982e+01,1.146e+04
20.7,1.444e+04,4.916e+01,7.173e+01,1.456e+04
22.2,1.785e+04,5.929e+01,6.763e+01,1.798e+04
23.8,2.243e+04,1.154e+02,6.849e+01,2.261e+04
25.4,2.828e+04,2.949e+02,7.003e+01,2.865e+04
27.0,3.716e+04,1.123e+03,7.935e+01,3.836e+04
28.6,4.771e+04,4.856e+03,2.663e+02,5.284e+04
30.2,5.694e+04,1.585e+04,9.617e+02,7.375e+04
31.8,5.119e+04,3.037e+04,2.068e+03,8.363e+04
33.4,5.666e+04,2.038e+04,1.758e+03,7.879e+04
35.0,8.650e+04,1.710e+04,1.790e+03,1.054e+05
36.5,1.377e+05,2.723e+04,2.886e+03,1.678e+05
38.1,2.121e+05,5.211e+04,5.344e+03,2.695e+05
39.7,2.105e+05,6.851e+04,7.368e+03,2.864e+05
41.3,1.191e+05,5.051e+04,7.434e+03,1.770e+05
42.9,8.050e+04,5.674e+04,1.171e+04,1.489e+05
44.5,4.729e+04,6.587e+04,1.484e+04,1.280e+05
46.1,1.957e+04,5.552e+04,1.351e+04,8.860e+04
47.7,1.305e+04,5.178e+04,1.017e+04,7.499e+04
49.3,1.098e+04,5.032e+04,6.272e+03,6.757e+04
50.8,7.422e+03,4.664e+04,4.027e+03,5.809e+04
52.4,4.921e+03,4.313e+04,3.008e+03,5.106e+04
54.0,5.920e+03,4.620e+04,2.314e+03,5.443e+04
55.6,8.767e+03,3.925e+04,1.394e+03,4.941e+04
57.2,1.253e+04,1.951e+04,1.638e+03,3.368e+04
58.8,2.123e+04,2.091e+04,3.223e+03,4.537e+04
60.4,3.559e+04,5.464e+04,6.566e+03,9.680e+04
62.0,5.187e+04,1.228e+05,1.137e+04,1.861e+05
63.6,6.305e+04,8.367e+04,7.203e+03,1.539e+05
65.1,6.597e+04,3.013e+04,4.144e+03,1.002e+05
66.7,6.293e+04,1.387e+04,2.557e+03,7.936e+04
68.3,7.523e+04,5.870e+03,6.867e+02,8.178e+04
69.9,9.744e+04,5.568e+03,2.504e+02,1.033e+05
71.5,1.263e+05,9.359e+03,3.503e+02,1.360e+05
73.1,1.496e+05,1.314e+04,7.390e+02,1.635e+05
74.7,1.979e+05,1.877e+04,1.647e+03,2.183e+05
76.3,2.647e+05,2.982e+04,3.214e+03,2.977e+05
77.9,2.491e+05,3.312e+04,4.582e+03,2.868e+05
79.4,1.356e+05,2.050e+04,4.029e+03,1.602e+05
81.0,4.985e+04,9.973e+03,2.642e+03,6.247e+04
82.6,1.570e+04,8.073e+03,1.877e+03,2.565e+04
84.2,7.970e+03,1.557e+04,2.254e+03,2.580e+04
85.8,1.155e+04,2.730e+04,3.479e+03,4.234e+04
87.4,2.064e+04,3.323e+04,4.524e+03,5.839e+04
89.0,3.396e+04,4.183e+04,5.527e+03,8.131e+04
90.6,4.782e+04,6.550e+04,7.460e+03,1.208e+05
92.2,5.762e+04,9.618e+04,1.172e+04,1.655e+05
93.7,6.655e+04,1.068e+05,1.666e+04,1.900e+05
95.3,8.229e+04,1.015e+05,2.089e+04,2.047e+05
96.9,1.124e+05,8.913e+04,2.439e+04,2.259e+05
98.5,1.523e+05,7.203e+04,2.663e+04,2.510e+05
100.1,1.881e+05,5.563e+04,2.278e+04,2.665e+05
101.7,2.163e+05,5.565e+04,1.687e+04,2.888e+05
103.3,2.417e+05,7.134e+04,2.190e+04,3.349e+05
104.9,1.972e+05,8.319e+04,4.072e+04,3.211e+05
106.5,1.256e+05,8.060e+04,5.733e+04,2.636e+05
108.0,8.197e+04,7.332e+04,6.231e+04,2.176e+05
109.6,5.307e+04,6.767e+04,5.965e+04,1.804e+05
111.2,5.433e+04,5.406e+04,5.282e+04,1.612e+05
112.8,8.259e+04,3.603e+04,4.238e+04,1.610e+05
114.4,1.349e+05,2.134e+04,3.292e+04,1.891e+05
116.0,1.790e+05,1.471e+04,2.473e+04,2.184e+05
117.6,1.151e+05,1.573e+04,1.519e+04,1.461e+05
119.2,7.812e+04,1.724e+04,8.659e+03,1.040e+05
120.8,7.947e+04,1.840e+04,7.582e+03,1.055e+05
122.3,1.096e+05,1.890e+04,7.869e+03,1.363e+05
123.9,1.760e+05,2.053e+04,5.812e+03,2.024e+05
125.5,2.559e+05,1.968e+04,5.152e+03,2.807e+05
127.1,2.623e+05,1.877e+04,4.974e+03,2.860e+05
128.7,2.465e+05,2.147e+04,8.093e+03,2.760e+05
130.3,3.707e+05,2.394e+04,9.454e+03,4.041e+05
131.9,3.660e+05,2.016e+04,7.151e+03,3.933e+05
133.5,1.251e+05,8.531e+03,2.563e+03,1.362e+05
135.1,2.079e+04,3.393e+03,7.956e+02,2.498e+04
136.6,1.841e+04,2.364e+03,7.192e+02,2.150e+04
138.2,2.697e+04,2.136e+03,6.191e+02,2.972e+04
139.8,3.339e+04,2.349e+03,6.374e+02,3.638e+04
141.4,3.624e+04,2.540e+03,6.808e+02,3.946e+04
143.0,3.680e+04,2.592e+03,7.635e+02,4.016e+04
144.6,3.310e+04,2.105e+03,9.340e+02,3.614e+04
146.2,4.380e+04,2.306e+03,2.213e+03,4.832e+04
147.8,5.392e+04,3.124e+03,2.869e+03,5.991e+04
149.4,3.928e+04,3.393e+03,1.092e+03,4.376e+04
150.9,3.799e+04,3.780e+03,6.693e+02,4.244e+04
152.5,3.918e+04,3.716e+03,5.609e+02,4.346e+04
154.1,4.012e+04,3.627e+03,5.184e+02,4.427e+04
155.7,3.693e+04,3.581e+03,6.800e+02,4.119e+04
157.3,3.343e+04,3.562e+03,9.904e+02,3.798e+04
158.9,4.234e+04,3.531e+03,9.844e+02,4.686e+04
160.5,4.921e+04,3.055e+03,7.208e+02,5.299e+04
162.1,3.593e+04,1.829e+03,4.248e+02,3.818e+04
163.7,2.990e+04,1.028e+03,2.192e+02,3.115e+04
165.2,2.716e+04,7.863e+02,2.076e+02,2.815e+04
166.8,2.011e+04,6.075e+02,2.439e+02,2.096e+04
168.4,1.687e+04,7.066e+02,3.081e+02,1.789e+04
170.0,2.014e+04,7.807e+02,2.581e+02,2.118e+04
171.6,2.315e+04,8.576e+02,2.217e+02,2.423e+04
173.2,2.500e+04,9.781e+02,2.220e+02,2.620e+04
