freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.296e+01,1.438e+02,7.082e+01,2.276e+02
1.5,2.075e+01,9.835e+01,7.923e+01,1.983e+02
3.0,1.753e+01,2.705e+01,4.935e+01,9.393e+01
4.6,1.928e+01,3.592e+02,4.993e+01,4.284e+02
6.1,1.933e+01,1.506e+03,5.351e+01,1.579e+03
7.6,2.564e+01,3.130e+03,6.243e+01,3.218e+03
9.1,3.381e+01,4.597e+03,9.770e+01,4.729e+03
10.7,2.610e+01,2.694e+03,9.458e+01,2.815e+03
12.2,2.658e+01,3.190e+03,6.397e+01,3.280e+03
13.7,3.868e+01,5.304e+03,5.913e+01,5.401e+03
15.2,6.619e+01,7.633e+03,5.645e+01,7.756e+03
16.8,6.509e+01,9.699e+03,5.625e+01,9.820e+03
18.3,8.563e+01,1.265e+04,6.974e+01,1.281e+04
19.8,1.584e+02,1.896e+04,1.414e+02,1.926e+04
21.3,3.192e+02,2.528e+04,4.989e+02,2.610e+04
22.9,6.292e+02,2.447e+04,9.746e+02,2.608e+04
24.4,1.289e+03,1.832e+04,1.435e+03,2.105e+04
25.9,1.780e+03,1.966e+04,1.577e+03,2.302e+04
27.4,2.476e+03,2.529e+04,1.759e+03,2.953e+04
29.0,3.845e+03,3.026e+04,2.188e+03,3.629e+04
30.5,5.834e+03,3.994e+04,3.197e+03,4.898e+04
32.0,8.555e+03,5.675e+04,5.017e+03,7.032e+04
33.5,1.012e+04,7.766e+04,7.915e+03,9.569e+04
35.1,8.413e+03,1.110e+05,1.300e+04,1.324e+05
36.6,6.551e+03,1.728e+05,2.481e+04,2.042e+05
38.1,3.127e+03,2.401e+05,4.183e+04,2.850e+05
39.6,2.087e+03,2.516e+05,5.345e+04,3.071e+05
41.1,4.696e+03,2.044e+05,5.394e+04,2.630e+05
42.7,6.137e+03,1.552e+05,4.499e+04,2.063e+05
44.2,3.687e+03,1.078e+05,3.679e+04,1.483e+05
45.7,2.219e+03,6.878e+04,7.229e+04,1.433e+05
47.2,3.231e+03,6.072e+04,1.675e+05,2.314e+05
48.8,2.015e+03,4.880e+04,1.899e+05,2.407e+05
50.3,1.379e+03,2.882e+04,1.515e+05,1.817e+05
51.8,2.476e+03,1.554e+04,1.207e+05,1.387e+05
53.3,5.261e+03,7.144e+03,9.876e+04,1.112e+05
54.9,8.015e+03,4.555e+03,8.731e+04,9.988e+04
56.4,9.118e+03,7.458e+03,7.303e+04,8.961e+04
57.9,9.248e+03,1.293e+04,6.205e+04,8.423e+04
59.4,9.727e+03,1.892e+04,4.576e+04,7.441e+04
61.0,9.580e+03,2.319e+04,2.231e+04,5.508e+04
62.5,9.480e+03,2.295e+04,1.412e+04,4.655e+04
64.0,1.068e+04,1.790e+04,1.789e+04,4.647e+04
65.5,1.412e+04,1.199e+04,2.445e+04,5.056e+04
67.1,1.626e+04,1.046e+04,3.165e+04,5.837e+04
68.6,1.335e+04,8.918e+03,4.380e+04,6.606e+04
70.1,9.580e+03,6.280e+03,6.437e+04,8.023e+04
71.6,6.430e+03,4.306e+03,8.766e+04,9.840e+04
73.1,4.234e+03,3.509e+03,1.125e+05,1.202e+05
74.7,3.626e+03,3.512e+03,1.411e+05,1.483e+05
76.2,3.731e+03,3.685e+03,1.557e+05,1.631e+05
77.7,4.178e+03,4.080e+03,1.455e+05,1.537e+05
79.2,4.721e+03,4.738e+03,1.206e+05,1.300e+05
80.8,4.064e+03,5.694e+03,9.706e+04,1.068e+05
82.3,3.412e+03,6.944e+03,8.090e+04,9.126e+04
83.8,3.322e+03,8.152e+03,6.698e+04,7.845e+04
85.3,3.456e+03,9.546e+03,5.787e+04,7.087e+04
86.9,3.631e+03,1.081e+04,5.236e+04,6.681e+04
88.4,3.760e+03,1.159e+04,4.788e+04,6.323e+04
